station,machines,machines_in_service,capacity_mw,dispatched_mw,demand_mw,net_mw
Moy,6,0,189.6,0.0,26.88,-26.88
Corderry,14,0,145.253,0.0,0.0,0.0
Croaghonagh,2,0,139.2,0.0,0.0,0.0
Clogher,6,0,110.25,0.0,0.0,0.0
Drumkeen,3,0,84.96,0.0,0.0,0.0
Cathaleen's Fall,5,4,83.0,65.0,17.04,47.96
Glenree,4,0,77.3,0.0,0.0,0.0
Binbane,14,1,75.1,4.3,18.71,-14.41
Letterkenny,7,0,70.77000000000001,0.0,66.08,-66.08
Sorne Hill,10,0,63.24999999999999,0.0,0.0,0.0
Sligo,5,1,48.449999999999996,0.0,54.19,-54.19
Trillick,6,0,44.69,0.0,20.07,-20.07
Ardnagappary,3,0,22.94,0.0,9.67,-9.67
Srananagh 220,0,0,0.0,0.0,0.0,0.0
Tievebrack,0,0,0.0,0.0,0.0,0.0
