name,bus,control,p_nom,p_min_pu,p_set,q_set,sign,carrier,marginal_cost,psse_bus,psse_bus_name,aggregated
10271-1,1021,PV,21.0,0.23809523809523808,20.0,-7.0,1.0,hydro,1.0,10271.0,HY_ARDNG1,True
10272-2,1021,PV,22.0,0.22727272727272727,20.0,-7.0,1.0,hydro,1.0,10272.0,HY_ARDNG2,True
10273-3,1021,PV,19.0,0.2631578947368421,10.0,-7.0,1.0,hydro,1.0,10273.0,HY_ARDNG3,True
10274-4,1021,PV,24.0,0.20833333333333334,20.0,-7.0,1.0,hydro,1.0,10274.0,HY_ARDNG4,True
10470-1,10422,PV,456.69,0.4861065493004007,449.0,-122.417,1.0,gas,90.0,10470.0,AGH_CCGT,True
12101-XX,1211,PV,100.0,0.0,0.0,-94.492,1.0,unknown,60.0,12101.0,BALLYVOUSKIL,True
14703-XX,1472,PV,250.0,0.0,0.0,-94.835,1.0,unknown,60.0,14703.0,BLC STATCOM,True
17073-3,1701,PV,22.5,0.2222222222222222,20.0,-25.0,1.0,hydro,1.0,17073.0,HY_CATHG3,True
17074-4,17010,PV,23.0,0.21739130434782608,20.0,-25.0,1.0,hydro,1.0,17074.0,HY_CATHG4,True
19317-XX,1931,PV,6.0,0.0,0.0,-0.0,1.0,unknown,60.0,19317.0,CUNG_SCOM,True
20771-1,2072,PV,280.0,0.21428571428571427,187.0,-97.421,1.0,unknown,60.0,20771.0,KILSHANE,True
24471-1,2441,PV,55.0,0.4909090909090909,48.0,-10.0,1.0,unknown,60.0,24471.0,BELLEWSTOWN,True
24472-1,2441,PV,55.0,0.4909090909090909,48.0,-10.0,1.0,unknown,60.0,24472.0,BELLEWSTOWN,True
24473-1,2441,PV,55.0,0.4909090909090909,48.0,-10.0,1.0,unknown,60.0,24473.0,BELLEWSTOWN,True
27361-XX,2731,PV,12.3,0.0,0.0,-0.0,1.0,unknown,60.0,27361.0,GAE_SCOM,True
27474-1,2742,PV,465.5,0.5048335123523093,396.0,-91.657,1.0,gas,90.0,27474.0,GI CCGT,True
28901-SC,2892,PV,130.0,-0.06153846153846154,0.0,0.0,1.0,unknown,60.0,28901.0,GLENCLOOSAGH,True
29673-2,2972,PV,400.0,0.485,400.0,-96.732,1.0,biomass,40.0,29673.0,BS_HUNTSTOWN,True
31271-1,3122,PV,403.9,0.4035652389205249,394.0,-100.0,1.0,unknown,60.0,31271.0,DUBLIN_BAY_P,True
32508-XX,3251,PV,10.0,0.0,0.0,-0.0,1.0,wind,0.0,32508.0,W_KNOCKNAGOU,True
33361-XX,3331,PV,100.0,0.0,0.0,-98.06,1.0,unknown,60.0,33361.0,STATCOM BALL,True
36971-1,3691,PV,55.0,0.4909090909090909,48.0,-10.0,1.0,unknown,60.0,36971.0,LAGHTANVACK,True
36971-2,3691,PV,55.0,0.4909090909090909,48.0,-10.0,1.0,unknown,60.0,36971.0,LAGHTANVACK,True
